ID,Team,Position,Player,Age,Caps,Goals,WC Goals,League,Club
247,Haiti,Midfielder,Leverton Pierre,28,33,0,0,Portuguese Football Federation,Vizela
248,Haiti,Forward,Ruben Providence,24,15,3,0,Royal Dutch Football Association,Almere City
249,Haiti,Forward,Lenny Joseph,25,2,1,0,Hungarian Football Federation,Ferencváros
250,Haiti,Midfielder,Danley Jean Jacques,26,30,6,0,United States Soccer Federation,Philadelphia Union
251,Haiti,Forward,Wilson Isidor,25,4,2,0,The Football Association,Sunderland
252,Haiti,Forward,Yassin Fortuné,27,4,0,0,Portuguese Football Federation,Vizela
253,Haiti,Forward,Frantzdy Pierrot,31,51,34,0,Turkish Football Federation,Çaykur Rizespor
254,Haiti,Forward,Josué Casimir,24,7,0,0,French Football Federation,Auxerre
255,Haiti,Defender,Jean-Kévin Duverne,28,17,1,0,Royal Belgian Football Association,Gent
256,Haiti,Goalkeeper,Josué Duverger,26,6,0,0,German Football Association,Cosmos Koblenz
257,Haiti,Defender,Wilguens Paugain,24,8,0,0,Royal Belgian Football Association,Zulte Waregem
258,Haiti,Midfielder,Dominique Simon,25,2,0,0,Slovak Football Association,Tatran Prešov
259,Haiti,Midfielder,Woodensky Pierre,21,1,0,0,Haitian Football Federation,Violette
260,Morocco,Goalkeeper,Yassine Bounou,35,90,0,0,Saudi Arabian Football Federation,Al-Hilal
261,Morocco,Defender,Achraf Hakimi (captain),27,96,11,0,French Football Federation,Paris Saint-Germain
262,Morocco,Defender,Noussair Mazraoui,28,45,2,0,The Football Association,Manchester United
263,Morocco,Midfielder,Sofyan Amrabat,29,75,0,0,Royal Spanish Football Federation,Real Betis
264,Morocco,Defender,Nayef Aguerd,30,64,2,0,French Football Federation,Marseille
265,Morocco,Midfielder,Ayyoub Bouaddi,18,4,0,0,French Football Federation,Lille
266,Morocco,Midfielder,Chemsdine Talbi,21,5,0,0,The Football Association,Sunderland
267,Morocco,Midfielder,Azzedine Ounahi,26,49,9,0,Royal Spanish Football Federation,Girona
268,Morocco,Forward,Soufiane Rahimi,30,37,12,0,United Arab Emirates Football Association,Al Ain
269,Morocco,Forward,Brahim Díaz,26,26,14,0,Royal Spanish Football Federation,Real Madrid
270,Morocco,Midfielder,Ismael Saibari,25,31,9,0,Royal Dutch Football Association,PSV Eindhoven
271,Morocco,Goalkeeper,Munir Mohamedi,37,53,0,0,Royal Moroccan Football Federation,RS Berkane
272,Morocco,Defender,Zakaria El Ouahdi,24,3,0,0,Royal Belgian Football Association,Genk
273,Morocco,Defender,Issa Diop,29,4,0,0,The Football Association,Fulham
274,Morocco,Midfielder,Samir El Mourabet,20,4,0,0,French Football Federation,Strasbourg
275,Morocco,Midfielder,Gessime Yassine,20,5,0,0,French Football Federation,Strasbourg
276,Morocco,Forward,Abde Ezzalzouli,24,37,2,0,Royal Spanish Football Federation,Real Betis
277,Morocco,Defender,Chadi Riad,22,6,1,0,The Football Association,Crystal Palace
278,Morocco,Defender,Youssef Belammari,27,19,0,0,Egyptian Football Association,Al Ahly
279,Morocco,Forward,Ayoub El Kaabi,32,71,35,0,Hellenic Football Federation,Olympiacos
280,Morocco,Forward,Ayoube Amaimouni,21,2,0,0,German Football Association,Eintracht Frankfurt
281,Morocco,Goalkeeper,Ahmed Reda Tagnaouti,30,3,0,0,Royal Moroccan Football Federation,AS FAR
282,Morocco,Midfielder,Bilal El Khannouss,22,37,3,0,German Football Association,VfB Stuttgart
283,Morocco,Midfielder,Neil El Aynaoui,24,16,2,0,Italian Football Federation,Roma
284,Morocco,Defender,Redouane Halhal,23,3,0,0,Royal Belgian Football Association,Mechelen
285,Morocco,Defender,Anass Salah-Eddine,24,9,0,0,Royal Dutch Football Association,PSV Eindhoven
286,Scotland,Goalkeeper,Angus Gunn,30,22,0,0,The Football Association,Nottingham Forest
287,Scotland,Defender,Aaron Hickey,24,21,0,0,The Football Association,Brentford
288,Scotland,Defender,Andy Robertson (captain),32,94,4,0,The Football Association,Liverpool
289,Scotland,Midfielder,Scott McTominay,29,70,15,0,Italian Football Federation,Napoli
290,Scotland,Defender,Grant Hanley,34,68,2,0,Scottish Football Association,Hibernian
291,Scotland,Defender,Kieran Tierney,29,56,2,0,Scottish Football Association,Celtic
