ID,Team,Position,Player,Age,Caps,Goals,WC Goals,League,Club
1188,England,Midfielder,Eberechi Eze,27,16,3,0,The Football Association,Arsenal
1189,England,Forward,Ivan Toney,30,8,1,0,Saudi Arabian Football Federation,Al-Ahli
1190,England,Goalkeeper,James Trafford,23,2,0,0,The Football Association,Manchester City
1191,England,Defender,Reece James,26,23,1,0,The Football Association,Chelsea
1192,England,Defender,Djed Spence,25,5,0,0,The Football Association,Tottenham Hotspur
1193,England,Defender,Jarell Quansah,23,2,0,0,German Football Association,Bayer Leverkusen
1194,Ghana,Goalkeeper,Lawrence Ati-Zigi,29,29,0,0,Swiss Football Association,St. Gallen
1195,Ghana,Defender,Alidu Seidu,26,24,1,0,French Football Federation,Rennes
1196,Ghana,Midfielder,Caleb Yirenkyi,20,11,1,0,Danish Football Association,Nordsjælland
1197,Ghana,Defender,Jonas Adjetey,22,10,0,0,German Football Association,VfL Wolfsburg
1198,Ghana,Midfielder,Thomas Partey,32,57,15,0,Royal Spanish Football Federation,Villarreal
1199,Ghana,Defender,Abdul Mumin,28,5,0,0,Royal Spanish Football Federation,Rayo Vallecano
1200,Ghana,Forward,Abdul Fatawu,22,28,3,0,The Football Association,Leicester City
1201,Ghana,Midfielder,Kwasi Sibo,27,8,0,0,Royal Spanish Football Federation,Oviedo
1202,Ghana,Forward,Jordan Ayew (captain),34,120,34,0,The Football Association,Leicester City
1203,Ghana,Forward,Brandon Thomas-Asante,27,8,1,0,The Football Association,Coventry City
1204,Ghana,Midfielder,Antoine Semenyo,26,34,3,0,The Football Association,Manchester City
1205,Ghana,Goalkeeper,Joseph Anang,26,1,0,0,Football Association of Ireland,St Patrick's Athletic
1206,Ghana,Forward,Christopher Bonsu Baah,21,9,0,0,Saudi Arabian Football Federation,Al-Qadsiah
1207,Ghana,Defender,Gideon Mensah,27,40,0,0,French Football Federation,Auxerre
1208,Ghana,Midfielder,Elisha Owusu,28,20,0,0,French Football Federation,Auxerre
1209,Ghana,Goalkeeper,Benjamin Asare,33,11,0,0,Ghana Football Association,Hearts of Oak
1210,Ghana,Defender,Abdul Rahman Baba,31,51,1,0,Hellenic Football Federation,PAOK
1211,Ghana,Defender,Jerome Opoku,27,11,1,0,Turkish Football Federation,İstanbul Başakşehir
1212,Ghana,Forward,Iñaki Williams,31,26,2,0,Royal Spanish Football Federation,Athletic Bilbao
1213,Ghana,Midfielder,Augustine Boakye,25,0,0,0,French Football Federation,Saint-Étienne
1214,Ghana,Defender,Kojo Peprah Oppong,22,4,0,0,French Football Federation,Nice
1215,Ghana,Forward,Kamaldeen Sulemana,24,28,1,0,Italian Football Federation,Atalanta
1216,Ghana,Defender,Derrick Luckassen,30,1,0,0,Cyprus Football Association,Pafos
1217,Ghana,Forward,Ernest Nuamah,22,18,4,0,French Football Federation,Lyon
1218,Ghana,Forward,Prince Kwabena Adu,22,5,0,0,Football Association of the Czech Republic,Viktoria Plzeň
1219,Ghana,Defender,Marvin Senaya,25,2,0,0,French Football Federation,Auxerre
1220,Panama,Goalkeeper,Luis Mejía,35,56,0,0,Uruguayan Football Association,Nacional
1221,Panama,Defender,César Blackman,28,40,3,0,Slovak Football Association,Slovan Bratislava
1222,Panama,Defender,José Córdoba,25,32,1,0,The Football Association,Norwich City
1223,Panama,Defender,Fidel Escobar,31,99,4,0,Costa Rican Football Federation,Saprissa
1224,Panama,Defender,Edgardo Fariña,24,18,0,0,Russian Football Union,Pari Nizhny Novgorod
1225,Panama,Midfielder,Cristian Martínez,29,66,2,0,Israel Football Association,Ironi Kiryat Shmona
1226,Panama,Midfielder,José Luis Rodríguez,27,70,8,0,Mexican Football Federation,Juárez
1227,Panama,Midfielder,Adalberto Carrasquilla,27,73,3,0,Mexican Football Federation,UNAM
1228,Panama,Forward,Tomás Rodríguez,27,13,4,0,Costa Rican Football Federation,Saprissa
1229,Panama,Midfielder,Ismael Díaz,29,57,17,0,Mexican Football Federation,León
1230,Panama,Midfielder,Yoel Bárcenas,32,104,10,0,Mexican Football Federation,Mazatlán
1231,Panama,Goalkeeper,César Samudio,32,5,0,0,National Autonomous Federation of Football of Honduras,Marathón
1232,Panama,Defender,Jiovany Ramos,29,23,2,0,Venezuelan Football Federation,Puerto Cabello
1233,Panama,Defender,Carlos Harvey,26,28,3,0,United States Soccer Federation,Minnesota United FC
1234,Panama,Defender,Eric Davis,35,107,9,0,Panamanian Football Federation,Plaza Amador
1235,Panama,Defender,Andrés Andrade,27,50,1,0,Austrian Football Association,LASK
1236,Panama,Forward,José Fajardo,32,68,17,0,Ecuadorian Football Federation,Universidad Católica
1237,Panama,Forward,Cecilio Waterman,35,55,15,0,Football Federation of Chile,Universidad de Concepción
1238,Panama,Midfielder,Alberto Quintero,38,141,7,0,Panamanian Football Federation,Plaza Amador
1239,Panama,Midfielder,Aníbal Godoy (captain),36,159,4,0,United States Soccer Federation,San Diego FC
1240,Panama,Midfielder,César Yanis,30,56,5,0,Football Federation of Chile,Cobresal
1241,Panama,Goalkeeper,Orlando Mosquera,31,48,0,0,Saudi Arabian Football Federation,Al-Fayha
1242,Panama,Defender,Michael Amir Murillo,30,94,9,0,Turkish Football Federation,Beşiktaş
1243,Panama,Forward,Azarias Londoño,24,11,0,0,Ecuadorian Football Federation,Universidad Católica
1244,Panama,Defender,Roderick Miller,34,50,2,0,Association of Football Federations of Azerbaijan,Turan Tovuz
1245,Panama,Defender,Jorge Gutiérrez,27,18,0,0,Venezuelan Football Federation,Deportivo La Guaira
